Region, Country, Item Type, Sales Channel, Order Priority, Order Date, Order ID, Ship Date, Units Sold, Unit Price, Unit Cost, Total Revenue, Total Cost, Total Profit,
Sub-Saharan Africa, South Africa, Fruits,Offline, M, 7/27/2012,443368995,7/28/2012,1593,9.33,6.92,14862.69,11023.56,3839.13,
Middle East and North Africa, Morocco, Clothes, Online, M, 9/14/2013,667593514, 10/19/2013,4611,109.28,35.84,503890.08,165258.24,338631.84,
Australia and Oceania, Papua New Guinea, Meat,Offline,M, 5/15/2015,940995585,06/04/2015,360,421.89,364.69,151880.4,131288.4,20592,
Sub-Saharan Africa, Djibouti, Clothes, Offline, H,5/17/2017,880811536,07/02/2017,562,109.28,35.84,61415.36,20142.08,41273.28,
Europe, Slovakia, Beverages, Offline, L, 10/26/2016,174590194,12/04/2016,3973,47.45,31.79,188518.85,126301.67,62217.18,
Asia, Sri Lanka, Fruits, Online, L, 11/7/2011,830192887, 12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39,
Sub-Saharan Africa, Seychelles , Beverages, Online,M, 1/18/2013,425793445,2/16/2013,597,47.45,31.79,28327.65,18978.63,9349.02,
Sub-Saharan Africa, Tanzania, Beverages, Online, L, 11/30/2016,659878194,1/16/2017,1476,47.45,31.79,70036.2,46922.04,23114.16,
Sub-Saharan Africa, Ghana, Office Supplies, Online, L,3/23/2017,601245963, 4/15/2017,896,651.21,524.96,583484.16,470364.16,113120,
Sub-Saharan Africa, Tanzania, Cosmetics, Offline,1,5/23/2016,739008080,5/24/2016,7768,437.2,263.33,3396169.6,2045547.44,1350622.16,
Asia, Taiwan, Fruits,Offline, M, 2/9/2014,732588374,2/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94,
Middle East and North Africa, Algeria, Cosmetics, Online,M,2/18/2011,761723172,2/24/2011,9669,437.2,263.33,4227286.8,2546137.77,1681149.03,
Asia, Singapore, Snacks, Online, C, 1/28/2013,176461303,02/07/2013,7676,152.58,97.44,1171204.08,747949.44,423254.64,
